




============================================================================
Função: Griewangk
============================================================================
P = 12;   s =  1;   porc = 50,00;   tau =  4,00  -->  NFE:  100016  -->  fx: 1,245294661040520E-10  -->  sd:9,163888780536350E-11
P = 12;   s =  2;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 2,817537948983170E-10  -->  sd:5,989196907316970E-10
P = 12;   s =  1;   porc = 50,00;   tau =  3,50  -->  NFE:  100016  -->  fx: 1,789653377873690E-09  -->  sd:2,460641725994490E-09
P = 12;   s =  1;   porc = 10,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 1,221536801868490E-08  -->  sd:1,863016237224140E-08
P = 12;   s =  2;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,580236221775330E-08  -->  sd:1,797581518048490E-07
P = 12;   s =  1;   porc = 50,00;   tau =  3,00  -->  NFE:  100016  -->  fx: 3,674011431594900E-07  -->  sd:7,015908303794390E-07
P = 12;   s =  2;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 4,737447165987470E-07  -->  sd:8,369676979554680E-07
P = 12;   s =  1;   porc = 10,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,646619684539780E-05  -->  sd:5,322961781433940E-05
P = 12;   s =  2;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 1,296415859015000E-04  -->  sd:4,370833530484410E-04
P = 12;   s =  1;   porc = 50,00;   tau =  2,50  -->  NFE:  100016  -->  fx: 5,863611576223550E-04  -->  sd:1,066225432042170E-03
